ID,Text,Comment
Calloatti.Grid.ClearMarkersDescription,"Use this tool to delete individual Markers. Click on a Marker to delete it.",
Calloatti.Grid.ClearMarkersTitle,Clear Markers,
Calloatti.Grid.ClearRulersDescription,"Use this tool to delete individual Rulers. Click on a Ruler to delete it.",
Calloatti.Grid.ClearRulersTitle,Clear Rulers,
Calloatti.Grid.DeleteAllMarkersDescription,Use this tool to delete all Markers placed in the map.,
Calloatti.Grid.DeleteAllRulersDescription,Use this tool to delete all Rulers placed in the map.,
Calloatti.Grid.DeleteAllRulersTitle,Delete all Rulers,
Calloatti.Grid.DeleteAllMarkersTitle,Delete all Markers,
Calloatti.Grid.DeleteAllWaterDescription,"Use this tool to clear all Water Planner areas placed in the map.",
Calloatti.Grid.DeleteAllWaterTitle,"Delete all Water Planner areas",
Calloatti.Grid.KeyBind.Toggle.Grid,Toggle Terrain Grid,
Calloatti.Grid.KeyBind.Toggle.Grid.Buildings, Toggle Buildings Grid,
Calloatti.Grid.KeyBind.Toggle.Markers,Toggle Markers,
Calloatti.Grid.KeyBind.Toggle.Rulers,Toggle Rulers,
Calloatti.Grid.KeyBind.Toggle.Topo,"Toggle Topo Grid",
Calloatti.Grid.KeyBind.Toggle.Connectors,Toggle Mechanical Connectors,
Calloatti.Grid.KeyBindingGroup,Grid,
Calloatti.Grid.MarkerToolDescription,Use this tool to add Markers to the map. Shift-Click over a Marker to delete it. Click over a marker to cycle Marker color.,
Calloatti.Grid.MarkerToolTitle,Add Marker,
Calloatti.Grid.Markers.NotificationOff,"Markers: OFF",
Calloatti.Grid.Markers.NotificationOn,"Markers: ON",
Calloatti.Grid.RulerCircleToolDescription,"Use this tool to add circle Rulers. Click a block to place the center, then click to set the radius.",
Calloatti.Grid.RulerCircleToolTitle,Add Circle Rulers,
Calloatti.Grid.RulerToolDescription,"Use this tool to add/edit Rulers. Click a block, select orientation by moving the mouse, click outside/inside ruler preview to add ruler. Ctrl-Click on ruler block adds a gap, Ctrl-Click increases gap, Ctrl-Click red block to reset ruler.",
Calloatti.Grid.RulerToolTitle,Add and Edit Rulers,
Calloatti.Grid.Rulers.NotificationOff,"Rulers: OFF",
Calloatti.Grid.Rulers.NotificationOn,"Rulers: ON",
Calloatti.Grid.RulersHidden,Rulers Hidden,
Calloatti.Grid.RulersShown,Rulers Visible,
Calloatti.Grid.ToolGroup.Name,Grid Tools,
Calloatti.Grid.TopoData.NotificationOff,"Topo Data: OFF",
Calloatti.Grid.TopoData.NotificationOn,"Topo Data: ON",
Calloatti.Grid.ClearWaterToolDescription,"Use this tool to clear Water Planner areas.",
Calloatti.Grid.ClearWaterToolTitle,"Clear Water Planner areas",
Calloatti.Grid.WaterLowerToolDescription,"Use this tool to lower water level in Water Planner areas",
Calloatti.Grid.WaterLowerToolTitle,"Lower Water Planner areas",
Calloatti.Grid.WaterPlannerToolDescription,"Use this tool to add Water Planner areas.",
Calloatti.Grid.WaterPlannerToolTitle,"Add Water Planner areas",
Calloatti.Grid.WaterRiseToolDescription,"Use this tool to raise water level in Water Planner areas",
Calloatti.Grid.WaterRiseToolTitle,"Raise Water Planner areas",
"Calloatti.Grid.Connectors.NotificationOff","Mechanical Connectors: OFF",
"Calloatti.Grid.Connectors.NotificationOn","Mechanical Connectors: ON",
"Calloatti.Grid.Connectors.NotificationPreview","Mechanical Connectors: Preview only",
