ID,Text,Comment
Calloatti.Grid.DeleteAllDescription,"Use esta herramienta para eliminar todos los marcadores colocados en el mapa.",
Calloatti.Grid.DeleteAllRulersDescription,"Use esta herramienta para eliminar todas las reglas colocadas en el mapa.",
Calloatti.Grid.DeleteAllRulersTitle,"Eliminar todas las reglas",
Calloatti.Grid.DeleteAllTitle,"Eliminar todos los marcadores",
Calloatti.Grid.DeleteAllWaterDescription,"Use esta herramienta para limpiar todas las áreas del Planificador de Agua colocadas en el mapa.",
Calloatti.Grid.DeleteAllWaterTitle,"Limpiar áreas del Planificador de Agua",
Calloatti.Grid.KeyBind.Toggle.Grid,"Alternar cuadrícula de terreno",
Calloatti.Grid.KeyBind.Toggle.Grid.Buildings," Alternar cuadrícula de edificios",
Calloatti.Grid.KeyBind.Toggle.Markers,"Alternar marcadores",
Calloatti.Grid.KeyBind.Toggle.Rulers,"Alternar reglas",
Calloatti.Grid.KeyBind.Toggle.Topo,"Alternar cuadrícula topográfica",
Calloatti.Grid.KeyBindingGroup,"Cuadrícula",
Calloatti.Grid.MarkerToolDescription,"Use esta herramienta para añadir marcadores al mapa. Mayús-clic sobre un marcador lo elimina. Clic sobre un marcador cambia su color.",
Calloatti.Grid.MarkerToolTitle,"Añadir marcador",
Calloatti.Grid.Markers.NotificationOff,"Marcadores: DESACTIVADO",
Calloatti.Grid.Markers.NotificationOn,"Marcadores: ACTIVADO",
Calloatti.Grid.RulerToolDescription,"Use esta herramienta para añadir/editar reglas. Haga clic en un bloque, seleccione la orientación moviendo el ratón, haga clic fuera/dentro de la vista previa de la regla para añadirla. Ctrl-clic en un bloque de regla añade un espacio, Ctrl-clic aumenta el espacio, Ctrl-clic en bloque rojo restablece la regla.",
Calloatti.Grid.RulerToolTitle,"Añadir y editar reglas",
Calloatti.Grid.Rulers.NotificationOff,"Reglas: DESACTIVADO",
Calloatti.Grid.Rulers.NotificationOn,"Reglas: ACTIVADO",
Calloatti.Grid.RulersHidden,"Reglas ocultas",
Calloatti.Grid.RulersShown,"Reglas visibles",
Calloatti.Grid.ToolGroup.Name,"Herramientas de cuadrícula",
Calloatti.Grid.TopoData.NotificationOff,"Datos topográficos: DESACTIVADO",
Calloatti.Grid.TopoData.NotificationOn,"Datos topográficos: ACTIVADO",
Calloatti.Grid.WaterEraserToolDescription,"Use esta herramienta para limpiar áreas del Planificador de Agua.",
Calloatti.Grid.WaterEraserToolTitle,"Limpiar áreas del Planificador de Agua",
Calloatti.Grid.WaterLowerToolDescription,"Use esta herramienta para bajar el nivel del agua en áreas del Planificador de Agua",
Calloatti.Grid.WaterLowerToolTitle,"Bajar áreas del Planificador de Agua",
Calloatti.Grid.WaterPlannerToolDescription,"Use esta herramienta para añadir áreas del Planificador de Agua.",
Calloatti.Grid.WaterPlannerToolTitle,"Añadir áreas del Planificador de Agua",
Calloatti.Grid.WaterRiseToolDescription,"Use esta herramienta para elevar el nivel del agua en áreas del Planificador de Agua",
Calloatti.Grid.WaterRiseToolTitle,"Elevar áreas del Planificador de Agua",
