ID,Text,Comment
Calloatti.Grid.DeleteAllDescription,"Usa questo strumento per eliminare tutti i marcatori posizionati nella mappa.",
Calloatti.Grid.DeleteAllRulersDescription,"Usa questo strumento per eliminare tutti i righelli posizionati nella mappa.",
Calloatti.Grid.DeleteAllRulersTitle,"Elimina tutti i righelli",
Calloatti.Grid.DeleteAllTitle,"Elimina tutti i marcatori",
Calloatti.Grid.DeleteAllWaterDescription,"Usa questo strumento per cancellare tutte le aree del pianificatore d'acqua nella mappa.",
Calloatti.Grid.DeleteAllWaterTitle,"Cancella aree del pianificatore d'acqua",
Calloatti.Grid.KeyBind.Toggle.Grid,"Attiva/disattiva griglia del terreno",
Calloatti.Grid.KeyBind.Toggle.Grid.Buildings," Attiva/disattiva griglia degli edifici",
Calloatti.Grid.KeyBind.Toggle.Markers,"Attiva/disattiva marcatori",
Calloatti.Grid.KeyBind.Toggle.Rulers,"Attiva/disattiva righelli",
Calloatti.Grid.KeyBind.Toggle.Topo,"Attiva/disattiva griglia topografica",
Calloatti.Grid.KeyBindingGroup,"Griglia",
Calloatti.Grid.MarkerToolDescription,"Usa questo strumento per aggiungere marcatori alla mappa. Maiusc-clic su un marcatore per eliminarlo. Clic su un marcatore per cambiarne il colore.",
Calloatti.Grid.MarkerToolTitle,"Aggiungi marcatore",
Calloatti.Grid.Markers.NotificationOff,"Marcatori: SPENTO",
Calloatti.Grid.Markers.NotificationOn,"Marcatori: ACCESO",
Calloatti.Grid.RulerToolDescription,"Usa questo strumento per aggiungere/modificare righelli. Clicca un blocco, seleziona l'orientamento muovendo il mouse, clicca fuori/dentro l'anteprima del righello per aggiungerlo. Ctrl-clic sul blocco righello aggiunge uno spazio, Ctrl-clic aumenta lo spazio, Ctrl-clic sul blocco rosso azzera il righello.",
Calloatti.Grid.RulerToolTitle,"Aggiungi e modifica righelli",
Calloatti.Grid.Rulers.NotificationOff,"Righelli: SPENTO",
Calloatti.Grid.Rulers.NotificationOn,"Righelli: ACCESO",
Calloatti.Grid.RulersHidden,"Righelli nascosti",
Calloatti.Grid.RulersShown,"Righelli visibili",
Calloatti.Grid.ToolGroup.Name,"Strumenti griglia",
Calloatti.Grid.TopoData.NotificationOff,"Dati topografici: SPENTO",
Calloatti.Grid.TopoData.NotificationOn,"Dati topografici: ACCESO",
Calloatti.Grid.WaterEraserToolDescription,"Usa questo strumento per cancellare le aree del pianificatore d'acqua.",
Calloatti.Grid.WaterEraserToolTitle,"Cancella aree del pianificatore d'acqua",
Calloatti.Grid.WaterLowerToolDescription,"Usa questo strumento per abbassare il livello dell'acqua nelle aree del pianificatore d'acqua",
Calloatti.Grid.WaterLowerToolTitle,"Abbassa aree del pianificatore d'acqua",
Calloatti.Grid.WaterPlannerToolDescription,"Usa questo strumento per aggiungere aree del pianificatore d'acqua.",
Calloatti.Grid.WaterPlannerToolTitle,"Aggiungi aree del pianificatore d'acqua",
Calloatti.Grid.WaterRiseToolDescription,"Usa questo strumento per alzare il livello dell'acqua nelle aree del pianificatore d'acqua",
Calloatti.Grid.WaterRiseToolTitle,"Alza aree del pianificatore d'acqua",
