ID,Text,Comment
Calloatti.Grid.DeleteAllDescription,"このツールを使用して、マップに配置されたすべてのマーカーを削除します。",
Calloatti.Grid.DeleteAllRulersDescription,"このツールを使用して、マップに配置されたすべての定規を削除します。",
Calloatti.Grid.DeleteAllRulersTitle,"すべての定規を削除",
Calloatti.Grid.DeleteAllTitle,"すべてのマーカーを削除",
Calloatti.Grid.DeleteAllWaterDescription,"このツールを使用して、マップに配置されたすべてのウォータープランナーエリアをクリアします。",
Calloatti.Grid.DeleteAllWaterTitle,"ウォータープランナーエリアをクリア",
Calloatti.Grid.KeyBind.Toggle.Grid,"地形グリッドを切り替え",
Calloatti.Grid.KeyBind.Toggle.Grid.Buildings," 建物グリッドを切り替え",
Calloatti.Grid.KeyBind.Toggle.Markers,"マーカーを切り替え",
Calloatti.Grid.KeyBind.Toggle.Rulers,"定規を切り替え",
Calloatti.Grid.KeyBind.Toggle.Topo,"トポグリッドを切り替え",
Calloatti.Grid.KeyBindingGroup,"グリッド",
Calloatti.Grid.MarkerToolDescription,"このツールを使用してマップにマーカーを追加します。Shift+クリックでマーカーを削除します。マーカーをクリックして色を変更します。",
Calloatti.Grid.MarkerToolTitle,"マーカーを追加",
Calloatti.Grid.Markers.NotificationOff,"マーカー: オフ",
Calloatti.Grid.Markers.NotificationOn,"マーカー: オン",
Calloatti.Grid.RulerToolDescription,"このツールを使用して定規を追加/編集します。ブロックをクリックし、マウスを移動して方向を選択し、定規プレビューの外側/内側をクリックして定規を追加します。Ctrl+クリックで定規ブロックにギャップを追加、Ctrl+クリックでギャップを拡大、Ctrl+クリックで赤いブロックをリセットします。",
Calloatti.Grid.RulerToolTitle,"定規を追加および編集",
Calloatti.Grid.Rulers.NotificationOff,"定規: オフ",
Calloatti.Grid.Rulers.NotificationOn,"定規: オン",
Calloatti.Grid.RulersHidden,"定規を非表示",
Calloatti.Grid.RulersShown,"定規を表示",
Calloatti.Grid.ToolGroup.Name,"グリッドツール",
Calloatti.Grid.TopoData.NotificationOff,"トポデータ: オフ",
Calloatti.Grid.TopoData.NotificationOn,"トポデータ: オン",
Calloatti.Grid.WaterEraserToolDescription,"このツールを使用してウォータープランナーエリアをクリアします。",
Calloatti.Grid.WaterEraserToolTitle,"ウォータープランナーエリアをクリア",
Calloatti.Grid.WaterLowerToolDescription,"このツールを使用してウォータープランナーエリアの水位を下げます",
Calloatti.Grid.WaterLowerToolTitle,"ウォータープランナーエリアを下げる",
Calloatti.Grid.WaterPlannerToolDescription,"このツールを使用してウォータープランナーエリアを追加します。",
Calloatti.Grid.WaterPlannerToolTitle,"ウォータープランナーエリアを追加",
Calloatti.Grid.WaterRiseToolDescription,"このツールを使用してウォータープランナーエリアの水位を上げます",
Calloatti.Grid.WaterRiseToolTitle,"ウォータープランナーエリアを上げる",
