ID,Text,Comment
Calloatti.Grid.ClearMarkersDescription,이 도구를 사용하여 개별 마커를 삭제합니다. 마커를 클릭하여 삭제합니다.,
Calloatti.Grid.ClearMarkersTitle,마커 지우기,
Calloatti.Grid.ClearRulersDescription,이 도구를 사용하여 개별 눈금자를 삭제합니다. 눈금자를 클릭하여 삭제합니다.,
Calloatti.Grid.ClearRulersTitle,눈금자 지우기,
Calloatti.Grid.ClearWaterToolDescription,이 도구를 사용하여 물 계획 구역을 지웁니다.,
Calloatti.Grid.ClearWaterToolTitle,물 계획 구역 지우기,
Calloatti.Grid.Connectors.NotificationOff,Mechanical Connectors: OFF,
Calloatti.Grid.Connectors.NotificationOn,Mechanical Connectors: ON,
Calloatti.Grid.Connectors.NotificationPreview,Mechanical Connectors: Preview only,
Calloatti.Grid.DeleteAllMarkersDescription,이 도구를 사용하여 맵에 배치된 모든 마커를 삭제합니다.,
Calloatti.Grid.DeleteAllMarkersTitle,모든 마커 삭제,
Calloatti.Grid.DeleteAllRulersDescription,이 도구를 사용하여 맵에 배치된 모든 눈금자를 삭제합니다.,
Calloatti.Grid.DeleteAllRulersTitle,모든 눈금자 삭제,
Calloatti.Grid.DeleteAllWaterDescription,이 도구를 사용하여 맵에 배치된 모든 물 계획 구역을 지웁니다.,
Calloatti.Grid.DeleteAllWaterTitle,물 계획 구역 모두 삭제,
Calloatti.Grid.EvapData.NotificationOff,증발 데이터: 꺼짐,
Calloatti.Grid.EvapData.NotificationOn,증발 데이터: 켜짐,
Calloatti.Grid.KeyBind.Toggle.Connectors,기계식 커넥터 전환,
Calloatti.Grid.KeyBind.Toggle.Evap,증발 데이터 전환,
Calloatti.Grid.KeyBind.Toggle.Grid,지형 그리드 전환,
Calloatti.Grid.KeyBind.Toggle.Grid.Buildings,건물 그리드 전환,
Calloatti.Grid.KeyBind.Toggle.Markers,마커 전환,
Calloatti.Grid.KeyBind.Toggle.Rulers,눈금자 전환,
Calloatti.Grid.KeyBind.Toggle.Topo,지형도 그리드 전환,
Calloatti.Grid.KeyBindingGroup,그리드,
Calloatti.Grid.Markers.NotificationOff,마커: 끄기,
Calloatti.Grid.Markers.NotificationOn,마커: 켜기,
Calloatti.Grid.MarkerToolDescription,이 도구를 사용하여 맵에 마커를 추가합니다. 마커 위에서 Shift+클릭하면 삭제됩니다. 마커를 클릭하여 색상을 변경합니다.,
Calloatti.Grid.MarkerToolTitle,마커 추가,
Calloatti.Grid.RulerCircleToolDescription,이 도구를 사용하여 원형 눈금자를 추가합니다. 블록을 클릭하여 중심을 배치하고 클릭하여 반지름을 설정합니다.,
Calloatti.Grid.RulerCircleToolTitle,원형 눈금자 추가,
Calloatti.Grid.Rulers.NotificationOff,눈금자: 끄기,
Calloatti.Grid.Rulers.NotificationOn,눈금자: 켜기,
Calloatti.Grid.RulersHidden,눈금자 숨김,
Calloatti.Grid.RulersShown,눈금자 표시,
Calloatti.Grid.RulerToolDescription,"이 도구를 사용하여 눈금자를 추가/편집합니다. 블록을 클릭하고 마우스를 움직여 방향을 선택하고 눈금자 미리보기 외부/내부를 클릭하여 눈금자를 추가합니다. Ctrl+클릭으로 눈금자 블록에 간격을 추가하고, Ctrl+클릭으로 간격을 늘리며, Ctrl+클릭으로 빨간 블록을 초기화합니다.",
Calloatti.Grid.RulerToolTitle,눈금자 추가 및 편집,
Calloatti.Grid.ToolGroup.Name,그리드 도구,
Calloatti.Grid.TopoData.NotificationOff,지형도 데이터: 끄기,
Calloatti.Grid.TopoData.NotificationOn,지형도 데이터: 켜기,
Calloatti.Grid.WaterLowerToolDescription,이 도구를 사용하여 물 계획 구역의 수위를 낮춥니다,
Calloatti.Grid.WaterLowerToolTitle,물 계획 구역 낮추기,
Calloatti.Grid.WaterPlannerToolDescription,이 도구를 사용하여 물 계획 구역을 추가합니다.,
Calloatti.Grid.WaterPlannerToolTitle,물 계획 구역 추가,
Calloatti.Grid.WaterRiseToolDescription,이 도구를 사용하여 물 계획 구역의 수위를 높입니다,
Calloatti.Grid.WaterRiseToolTitle,물 계획 구역 높이기,
