ID,Text,Comment
Calloatti.Grid.DeleteAllDescription,"Użyj tego narzędzia, aby usunąć wszystkie znaczniki umieszczone na mapie.",
Calloatti.Grid.DeleteAllRulersDescription,"Użyj tego narzędzia, aby usunąć wszystkie linijki umieszczone na mapie.",
Calloatti.Grid.DeleteAllRulersTitle,"Usuń wszystkie linijki",
Calloatti.Grid.DeleteAllTitle,"Usuń wszystkie znaczniki",
Calloatti.Grid.DeleteAllWaterDescription,"Użyj tego narzędzia, aby wyczyścić wszystkie obszary planowania wody na mapie.",
Calloatti.Grid.DeleteAllWaterTitle,"Wyczyść obszary planowania wody",
Calloatti.Grid.KeyBind.Toggle.Grid,"Przełącz siatkę terenu",
Calloatti.Grid.KeyBind.Toggle.Grid.Buildings," Przełącz siatkę budynków",
Calloatti.Grid.KeyBind.Toggle.Markers,"Przełącz znaczniki",
Calloatti.Grid.KeyBind.Toggle.Rulers,"Przełącz linijki",
Calloatti.Grid.KeyBind.Toggle.Topo,"Przełącz siatkę topograficzną",
Calloatti.Grid.KeyBindingGroup,"Siatka",
Calloatti.Grid.MarkerToolDescription,"Użyj tego narzędzia, aby dodać znaczniki do mapy. Shift-klik na znaczniku go usuwa. Klik na znaczniku zmienia jego kolor.",
Calloatti.Grid.MarkerToolTitle,"Dodaj znacznik",
Calloatti.Grid.Markers.NotificationOff,"Znaczniki: WYŁ.",
Calloatti.Grid.Markers.NotificationOn,"Znaczniki: WŁ.",
Calloatti.Grid.RulerToolDescription,"Użyj tego narzędzia, aby dodawać/edytować linijki. Kliknij blok, wybierz orientację przesuwając mysz, kliknij poza/wewnątrz podglądu linijki, aby ją dodać. Ctrl-klik na bloku linijki dodaje przerwę, Ctrl-klik zwiększa przerwę, Ctrl-klik na czerwonym bloku resetuje linijkę.",
Calloatti.Grid.RulerToolTitle,"Dodawaj i edytuj linijki",
Calloatti.Grid.Rulers.NotificationOff,"Linijki: WYŁ.",
Calloatti.Grid.Rulers.NotificationOn,"Linijki: WŁ.",
Calloatti.Grid.RulersHidden,"Linijki ukryte",
Calloatti.Grid.RulersShown,"Linijki widoczne",
Calloatti.Grid.ToolGroup.Name,"Narzędzia siatki",
Calloatti.Grid.TopoData.NotificationOff,"Dane topograficzne: WYŁ.",
Calloatti.Grid.TopoData.NotificationOn,"Dane topograficzne: WŁ.",
Calloatti.Grid.WaterEraserToolDescription,"Użyj tego narzędzia, aby wyczyścić obszary planowania wody.",
Calloatti.Grid.WaterEraserToolTitle,"Wyczyść obszary planowania wody",
Calloatti.Grid.WaterLowerToolDescription,"Użyj tego narzędzia, aby obniżyć poziom wody w obszarach planowania wody",
Calloatti.Grid.WaterLowerToolTitle,"Obniż obszary planowania wody",
Calloatti.Grid.WaterPlannerToolDescription,"Użyj tego narzędzia, aby dodać obszary planowania wody.",
Calloatti.Grid.WaterPlannerToolTitle,"Dodaj obszary planowania wody",
Calloatti.Grid.WaterRiseToolDescription,"Użyj tego narzędzia, aby podnieść poziom wody w obszarach planowania wody",
Calloatti.Grid.WaterRiseToolTitle,"Podnieś obszary planowania wody",
