ID,Text,Comment
Calloatti.Grid.DeleteAllDescription,"Use esta ferramenta para deletar todos os marcadores colocados no mapa.",
Calloatti.Grid.DeleteAllRulersDescription,"Use esta ferramenta para deletar todas as réguas colocadas no mapa.",
Calloatti.Grid.DeleteAllRulersTitle,"Deletar todas as réguas",
Calloatti.Grid.DeleteAllTitle,"Deletar todos os marcadores",
Calloatti.Grid.DeleteAllWaterDescription,"Use esta ferramenta para limpar todas as áreas do Planejador de Água no mapa.",
Calloatti.Grid.DeleteAllWaterTitle,"Limpar áreas do Planejador de Água",
Calloatti.Grid.KeyBind.Toggle.Grid,"Alternar grade do terreno",
Calloatti.Grid.KeyBind.Toggle.Grid.Buildings," Alternar grade de edifícios",
Calloatti.Grid.KeyBind.Toggle.Markers,"Alternar marcadores",
Calloatti.Grid.KeyBind.Toggle.Rulers,"Alternar réguas",
Calloatti.Grid.KeyBind.Toggle.Topo,"Alternar grade topográfica",
Calloatti.Grid.KeyBindingGroup,"Grade",
Calloatti.Grid.MarkerToolDescription,"Use esta ferramenta para adicionar marcadores ao mapa. Shift-clique sobre um marcador para deletá-lo. Clique em um marcador para alternar a cor.",
Calloatti.Grid.MarkerToolTitle,"Adicionar marcador",
Calloatti.Grid.Markers.NotificationOff,"Marcadores: DESLIGADO",
Calloatti.Grid.Markers.NotificationOn,"Marcadores: LIGADO",
Calloatti.Grid.RulerToolDescription,"Use esta ferramenta para adicionar/editar réguas. Clique em um bloco, selecione a orientação movendo o mouse, clique fora/dentro da prévia da régua para adicioná-la. Ctrl-clique no bloco da régua adiciona uma lacuna, Ctrl-clique aumenta a lacuna, Ctrl-clique no bloco vermelho redefine a régua.",
Calloatti.Grid.RulerToolTitle,"Adicionar e editar réguas",
Calloatti.Grid.Rulers.NotificationOff,"Réguas: DESLIGADO",
Calloatti.Grid.Rulers.NotificationOn,"Réguas: LIGADO",
Calloatti.Grid.RulersHidden,"Réguas ocultas",
Calloatti.Grid.RulersShown,"Réguas visíveis",
Calloatti.Grid.ToolGroup.Name,"Ferramentas de grade",
Calloatti.Grid.TopoData.NotificationOff,"Dados topográficos: DESLIGADO",
Calloatti.Grid.TopoData.NotificationOn,"Dados topográficos: LIGADO",
Calloatti.Grid.WaterEraserToolDescription,"Use esta ferramenta para limpar áreas do Planejador de Água.",
Calloatti.Grid.WaterEraserToolTitle,"Limpar áreas do Planejador de Água",
Calloatti.Grid.WaterLowerToolDescription,"Use esta ferramenta para abaixar o nível da água em áreas do Planejador de Água",
Calloatti.Grid.WaterLowerToolTitle,"Abaixar áreas do Planejador de Água",
Calloatti.Grid.WaterPlannerToolDescription,"Use esta ferramenta para adicionar áreas do Planejador de Água.",
Calloatti.Grid.WaterPlannerToolTitle,"Adicionar áreas do Planejador de Água",
Calloatti.Grid.WaterRiseToolDescription,"Use esta ferramenta para elevar o nível da água em áreas do Planejador de Água",
Calloatti.Grid.WaterRiseToolTitle,"Elevar áreas do Planejador de Água",
