ID,Text,Comment
Calloatti.Grid.ClearMarkersDescription,"Используйте этот инструмент, чтобы удалять отдельные маркеры. Кликните по маркеру, чтобы удалить его.",
Calloatti.Grid.ClearMarkersTitle,Очистить маркеры,
Calloatti.Grid.ClearRulersDescription,"Используйте этот инструмент, чтобы удалять отдельные линейки. Кликните по линейке, чтобы удалить ее.",
Calloatti.Grid.ClearRulersTitle,Очистить линейки,
Calloatti.Grid.ClearWaterToolDescription,"Используйте этот инструмент, чтобы очистить области планировщика воды.",
Calloatti.Grid.ClearWaterToolTitle,Очистить области планировщика воды,
Calloatti.Grid.Connectors.NotificationOff,Mechanical Connectors: OFF,
Calloatti.Grid.Connectors.NotificationOn,Mechanical Connectors: ON,
Calloatti.Grid.Connectors.NotificationPreview,Mechanical Connectors: Preview only,
Calloatti.Grid.DeleteAllMarkersDescription,"Используйте этот инструмент, чтобы удалить все маркеры, размещенные на карте.",
Calloatti.Grid.DeleteAllMarkersTitle,Удалить все маркеры,
Calloatti.Grid.DeleteAllRulersDescription,"Используйте этот инструмент, чтобы удалить все линейки, размещенные на карте.",
Calloatti.Grid.DeleteAllRulersTitle,Удалить все линейки,
Calloatti.Grid.DeleteAllWaterDescription,"Используйте этот инструмент, чтобы очистить все области планировщика воды на карте.",
Calloatti.Grid.DeleteAllWaterTitle,Удалить все области планировщика воды,
Calloatti.Grid.EvapData.NotificationOff,Данные испарения: ВЫКЛ.,
Calloatti.Grid.EvapData.NotificationOn,Данные испарения: ВКЛ.,
Calloatti.Grid.KeyBind.Toggle.Connectors,Переключить механические соединители,
Calloatti.Grid.KeyBind.Toggle.Evap,Переключить данные испарения,
Calloatti.Grid.KeyBind.Toggle.Grid,Переключить сетку местности,
Calloatti.Grid.KeyBind.Toggle.Grid.Buildings,Переключить сетку зданий,
Calloatti.Grid.KeyBind.Toggle.Markers,Переключить маркеры,
Calloatti.Grid.KeyBind.Toggle.Rulers,Переключить линейки,
Calloatti.Grid.KeyBind.Toggle.Topo,Переключить топографическую сетку,
Calloatti.Grid.KeyBindingGroup,Сетка,
Calloatti.Grid.Markers.NotificationOff,Маркеры: ВЫКЛ,
Calloatti.Grid.Markers.NotificationOn,Маркеры: ВКЛ,
Calloatti.Grid.MarkerToolDescription,"Используйте этот инструмент, чтобы добавить маркеры на карту. Shift-клик по маркеру удаляет его. Клик по маркеру меняет его цвет.",
Calloatti.Grid.MarkerToolTitle,Добавить маркер,
Calloatti.Grid.RulerCircleToolDescription,"Используйте этот инструмент, чтобы добавить круговые линейки. Кликните по блоку, чтобы разместить центр, затем кликните, чтобы задать радиус.",
Calloatti.Grid.RulerCircleToolTitle,Добавить круговые линейки,
Calloatti.Grid.Rulers.NotificationOff,Линейки: ВЫКЛ,
Calloatti.Grid.Rulers.NotificationOn,Линейки: ВКЛ,
Calloatti.Grid.RulersHidden,Линейки скрыты,
Calloatti.Grid.RulersShown,Линейки видны,
Calloatti.Grid.RulerToolDescription,"Используйте этот инструмент, чтобы добавить/редактировать линейки. Нажмите на блок, выберите ориентацию движением мыши, нажмите снаружи/внутри предпросмотра линейки, чтобы добавить ее. Ctrl-клик по блоку линейки добавляет разрыв, Ctrl-клик увеличивает разрыв, Ctrl-клик по красному блоку сбрасывает линейку.",
Calloatti.Grid.RulerToolTitle,Добавить и редактировать линейки,
Calloatti.Grid.ToolGroup.Name,Инструменты сетки,
Calloatti.Grid.TopoData.NotificationOff,Топографические данные: ВЫКЛ,
Calloatti.Grid.TopoData.NotificationOn,Топографические данные: ВКЛ,
Calloatti.Grid.WaterLowerToolDescription,"Используйте этот инструмент, чтобы понизить уровень воды в областях планировщика воды",
Calloatti.Grid.WaterLowerToolTitle,Понизить области планировщика воды,
Calloatti.Grid.WaterPlannerToolDescription,"Используйте этот инструмент, чтобы добавить области планировщика воды.",
Calloatti.Grid.WaterPlannerToolTitle,Добавить области планировщика воды,
Calloatti.Grid.WaterRiseToolDescription,"Используйте этот инструмент, чтобы повысить уровень воды в областях планировщика воды",
Calloatti.Grid.WaterRiseToolTitle,Повысить области планировщика воды,
