ID,Text,Comment
Calloatti.Grid.ClearMarkersDescription,"Use this tool to delete individual Markers. Click on a Marker to delete it.",
Calloatti.Grid.ClearMarkersTitle,Clear Markers,
Calloatti.Grid.ClearRulersDescription,"Use this tool to delete individual Rulers. Click on a Ruler to delete it.",
Calloatti.Grid.ClearRulersTitle,Clear Rulers,
Calloatti.Grid.DeleteAllMarkersDescription,"ใช้เครื่องมือนี้เพื่อลบมาร์กเกอร์ทั้งหมดที่วางในแผนที่",
Calloatti.Grid.DeleteAllRulersDescription,"ใช้เครื่องมือนี้เพื่อลบไม้บรรทัดทั้งหมดที่วางในแผนที่",
Calloatti.Grid.DeleteAllRulersTitle,"ลบไม้บรรทัดทั้งหมด",
Calloatti.Grid.DeleteAllMarkersTitle,"ลบมาร์กเกอร์ทั้งหมด",
Calloatti.Grid.DeleteAllWaterDescription,"ใช้เครื่องมือนี้เพื่อล้างพื้นที่วางแผนน้ำทั้งหมดที่วางในแผนที่",
Calloatti.Grid.DeleteAllWaterTitle,"ลบพื้นที่วางแผนน้ำทั้งหมด",
Calloatti.Grid.KeyBind.Toggle.Grid,"สลับกริดภูมิประเทศ",
Calloatti.Grid.KeyBind.Toggle.Grid.Buildings," สลับกริดอาคาร",
Calloatti.Grid.KeyBind.Toggle.Markers,"สลับมาร์กเกอร์",
Calloatti.Grid.KeyBind.Toggle.Rulers,"สลับไม้บรรทัด",
Calloatti.Grid.KeyBind.Toggle.Topo,"สลับกริดภูมิประเทศ",
Calloatti.Grid.KeyBindingGroup,"กริด",
Calloatti.Grid.MarkerToolDescription,"ใช้เครื่องมือนี้เพื่อเพิ่มมาร์กเกอร์ในแผนที่ คลิก Shift บนมาร์กเกอร์เพื่อลบ คลิกบนมาร์กเกอร์เพื่อเปลี่ยนสี",
Calloatti.Grid.MarkerToolTitle,"เพิ่มมาร์กเกอร์",
Calloatti.Grid.Markers.NotificationOff,"มาร์กเกอร์: ปิด",
Calloatti.Grid.Markers.NotificationOn,"มาร์กเกอร์: เปิด",
Calloatti.Grid.RulerCircleToolDescription,"Use this tool to add circle Rulers. Click a block to place the center, then click to set the radius.",
Calloatti.Grid.RulerCircleToolTitle,Add Circle Rulers,
Calloatti.Grid.RulerToolDescription,"ใช้เครื่องมือนี้เพื่อเพิ่ม/แก้ไขไม้บรรทัด คลิกบล็อก เลือกทิศทางโดยเลื่อนเมาส์ คลิกด้านนอก/ด้านในตัวอย่างไม้บรรทัดเพื่อเพิ่มไม้บรรทัด Ctrl+คลิกบนบล็อกไม้บรรทัดเพื่อเพิ่มช่องว่าง Ctrl+คลิกเพิ่มช่องว่าง Ctrl+คลิกบล็อกสีแดงเพื่อรีเซ็ตไม้บรรทัด",
Calloatti.Grid.RulerToolTitle,"เพิ่มและแก้ไขไม้บรรทัด",
Calloatti.Grid.Rulers.NotificationOff,"ไม้บรรทัด: ปิด",
Calloatti.Grid.Rulers.NotificationOn,"ไม้บรรทัด: เปิด",
Calloatti.Grid.RulersHidden,"ไม้บรรทัดที่ซ่อน",
Calloatti.Grid.RulersShown,"ไม้บรรทัดที่แสดง",
Calloatti.Grid.ToolGroup.Name,"เครื่องมือกริด",
Calloatti.Grid.TopoData.NotificationOff,"ข้อมูลภูมิประเทศ: ปิด",
Calloatti.Grid.TopoData.NotificationOn,"ข้อมูลภูมิประเทศ: เปิด",
Calloatti.Grid.ClearWaterToolDescription,"ใช้เครื่องมือนี้เพื่อล้างพื้นที่วางแผนน้ำ",
Calloatti.Grid.ClearWaterToolTitle,"ล้างพื้นที่วางแผนน้ำ",
Calloatti.Grid.WaterLowerToolDescription,"ใช้เครื่องมือนี้เพื่อลดระดับน้ำในพื้นที่วางแผนน้ำ",
Calloatti.Grid.WaterLowerToolTitle,"ลดพื้นที่วางแผนน้ำ",
Calloatti.Grid.WaterPlannerToolDescription,"ใช้เครื่องมือนี้เพื่อเพิ่มพื้นที่วางแผนน้ำ",
Calloatti.Grid.WaterPlannerToolTitle,"เพิ่มพื้นที่วางแผนน้ำ",
Calloatti.Grid.WaterRiseToolDescription,"ใช้เครื่องมือนี้เพื่อเพิ่มระดับน้ำในพื้นที่วางแผนน้ำ",
Calloatti.Grid.WaterRiseToolTitle,"เพิ่มพื้นที่วางแผนน้ำ",
