ID,Text,Comment
Calloatti.Grid.DeleteAllDescription,"使用此工具删除地图中放置的所有标记。",
Calloatti.Grid.DeleteAllRulersDescription,"使用此工具删除地图中放置的所有标尺。",
Calloatti.Grid.DeleteAllRulersTitle,"删除所有标尺",
Calloatti.Grid.DeleteAllTitle,"删除所有标记",
Calloatti.Grid.DeleteAllWaterDescription,"使用此工具清除地图中放置的所有水规划器区域。",
Calloatti.Grid.DeleteAllWaterTitle,"清除水规划器区域",
Calloatti.Grid.KeyBind.Toggle.Grid,"切换地形网格",
Calloatti.Grid.KeyBind.Toggle.Grid.Buildings," 切换建筑网格",
Calloatti.Grid.KeyBind.Toggle.Markers,"切换标记",
Calloatti.Grid.KeyBind.Toggle.Rulers,"切换标尺",
Calloatti.Grid.KeyBind.Toggle.Topo,"切换地形网格",
Calloatti.Grid.KeyBindingGroup,"网格",
Calloatti.Grid.MarkerToolDescription,"使用此工具向地图添加标记。在标记上按住Shift点击可删除。点击标记可切换颜色。",
Calloatti.Grid.MarkerToolTitle,"添加标记",
Calloatti.Grid.Markers.NotificationOff,"标记: 关闭",
Calloatti.Grid.Markers.NotificationOn,"标记: 开启",
Calloatti.Grid.RulerToolDescription,"使用此工具添加/编辑标尺。点击一个方块，移动鼠标选择方向，在标尺预览外部/内部点击以添加标尺。Ctrl+点击标尺方块添加间隙，Ctrl+点击增加间隙，Ctrl+点击红色方块重置标尺。",
Calloatti.Grid.RulerToolTitle,"添加和编辑标尺",
Calloatti.Grid.Rulers.NotificationOff,"标尺: 关闭",
Calloatti.Grid.Rulers.NotificationOn,"标尺: 开启",
Calloatti.Grid.RulersHidden,"标尺已隐藏",
Calloatti.Grid.RulersShown,"标尺可见",
Calloatti.Grid.ToolGroup.Name,"网格工具",
Calloatti.Grid.TopoData.NotificationOff,"地形数据: 关闭",
Calloatti.Grid.TopoData.NotificationOn,"地形数据: 开启",
Calloatti.Grid.WaterEraserToolDescription,"使用此工具清除水规划器区域。",
Calloatti.Grid.WaterEraserToolTitle,"清除水规划器区域",
Calloatti.Grid.WaterLowerToolDescription,"使用此工具降低水规划器区域的水位",
Calloatti.Grid.WaterLowerToolTitle,"降低水规划器区域",
Calloatti.Grid.WaterPlannerToolDescription,"使用此工具添加水规划器区域。",
Calloatti.Grid.WaterPlannerToolTitle,"添加水规划器区域",
Calloatti.Grid.WaterRiseToolDescription,"使用此工具提升水规划器区域的水位",
Calloatti.Grid.WaterRiseToolTitle,"提升水规划器区域",
