ID,Text,Comment
Calloatti.Grid.DeleteAllDescription,"使用此工具刪除地圖中放置的所有標記。",
Calloatti.Grid.DeleteAllRulersDescription,"使用此工具刪除地圖中放置的所有標尺。",
Calloatti.Grid.DeleteAllRulersTitle,"刪除所有標尺",
Calloatti.Grid.DeleteAllTitle,"刪除所有標記",
Calloatti.Grid.DeleteAllWaterDescription,"使用此工具清除地圖中放置的所有水規劃器區域。",
Calloatti.Grid.DeleteAllWaterTitle,"清除水規劃器區域",
Calloatti.Grid.KeyBind.Toggle.Grid,"切換地形網格",
Calloatti.Grid.KeyBind.Toggle.Grid.Buildings," 切換建築網格",
Calloatti.Grid.KeyBind.Toggle.Markers,"切換標記",
Calloatti.Grid.KeyBind.Toggle.Rulers,"切換標尺",
Calloatti.Grid.KeyBind.Toggle.Topo,"切換地形網格",
Calloatti.Grid.KeyBindingGroup,"網格",
Calloatti.Grid.MarkerToolDescription,"使用此工具向地圖新增標記。在標記上按Shift+點擊可刪除。點擊標記可切換顏色。",
Calloatti.Grid.MarkerToolTitle,"新增標記",
Calloatti.Grid.Markers.NotificationOff,"標記: 關閉",
Calloatti.Grid.Markers.NotificationOn,"標記: 開啟",
Calloatti.Grid.RulerToolDescription,"使用此工具新增/編輯標尺。點擊一個方塊，移動滑鼠選擇方向，在標尺預覽外部/內部點擊以新增標尺。Ctrl+點擊標尺方塊新增間隙，Ctrl+點擊增加間隙，Ctrl+點擊紅色方塊重設標尺。",
Calloatti.Grid.RulerToolTitle,"新增和編輯標尺",
Calloatti.Grid.Rulers.NotificationOff,"標尺: 關閉",
Calloatti.Grid.Rulers.NotificationOn,"標尺: 開啟",
Calloatti.Grid.RulersHidden,"標尺已隱藏",
Calloatti.Grid.RulersShown,"標尺可見",
Calloatti.Grid.ToolGroup.Name,"網格工具",
Calloatti.Grid.TopoData.NotificationOff,"地形資料: 關閉",
Calloatti.Grid.TopoData.NotificationOn,"地形資料: 開啟",
Calloatti.Grid.WaterEraserToolDescription,"使用此工具清除水規劃器區域。",
Calloatti.Grid.WaterEraserToolTitle,"清除水規劃器區域",
Calloatti.Grid.WaterLowerToolDescription,"使用此工具降低水規劃器區域的水位",
Calloatti.Grid.WaterLowerToolTitle,"降低水規劃器區域",
Calloatti.Grid.WaterPlannerToolDescription,"使用此工具新增水規劃器區域。",
Calloatti.Grid.WaterPlannerToolTitle,"新增水規劃器區域",
Calloatti.Grid.WaterRiseToolDescription,"使用此工具提升水規劃器區域的水位",
Calloatti.Grid.WaterRiseToolTitle,"提升水規劃器區域",
